iter	Passed	Remaining
413	3058	4328
414	3064	4320
415	3071	4311
416	3079	4304
417	3085	4296
418	3092	4288
419	3099	4280
420	3106	4271
421	3113	4264
422	3120	4256
423	3127	4248
424	3133	4240
425	3141	4233
426	3148	4225
427	3155	4217
428	3162	4209
429	3169	4201
430	3175	4192
431	3183	4185
432	3189	4176
433	3196	4168
434	3204	4162
435	3211	4154
436	3218	4147
437	3225	4138
438	3231	4130
439	3238	4122
440	3245	4114
441	3252	4105
442	3258	4097
443	3265	4089
444	3272	4081
445	3280	4074
446	3287	4066
447	3294	4059
448	3301	4051
449	3308	4043
450	3315	4035
451	3322	4027
452	3329	4020
453	3336	4012
454	3343	4004
455	3350	3996
456	3356	3988
457	3363	3980
458	3370	3972
459	3377	3964
460	3383	3956
461	3391	3949
462	3398	3941
463	3405	3933
464	3411	3925
465	3418	3917
466	3425	3909
467	3432	3901
468	3439	3894
469	3446	3885
470	3452	3877
471	3459	3869
472	3466	3862
473	3473	3854
474	3480	3847
475	3487	3839
476	3494	3831
477	3501	3823
478	3508	3815
479	3515	3807
480	3521	3799
481	3528	3792
482	3535	3784
483	3542	3777
484	3550	3769
485	3557	3762
486	3564	3754
487	3571	3746
488	3577	3738
489	3584	3730
490	3591	3723
491	3598	3715
492	3605	3707
493	3612	3699
494	3619	3692
495	3626	3684
496	3633	3677
497	3640	3669
498	3647	3661
499	3655	3655
500	3662	3647
501	3669	3639
502	3675	3631
503	3682	3623
504	3689	3615
505	3695	3608
506	3702	3600
507	3709	3592
508	3717	3585
509	3723	3577
510	3730	3569
511	3737	3562
512	3744	3555
513	3752	3547
514	3758	3539
515	3765	3531
516	3772	3524
517	3779	3516
518	3786	3508
519	3792	3500
520	3799	3493
521	3806	3485
522	3812	3477
523	3820	3470
524	3826	3462
525	3833	3454
526	3840	3447
527	3847	3439
528	3853	3431
529	3860	3423
530	3867	3415
531	3873	3407
532	3880	3399
533	3887	3392
534	3894	3384
535	3902	3377
536	3908	3370
537	3915	3362
538	3922	3355
539	3929	3347
540	3936	3339
541	3943	3332
542	3950	3324
543	3956	3316
544	3963	3309
545	3970	3301
546	3977	3293
547	3983	3285
548	3990	3278
549	3997	3270
550	4004	3263
551	4011	3255
552	4018	3247
553	4024	3240
554	4031	3232
555	4038	3225
556	4045	3217
557	4051	3209
558	4058	3201
559	4066	3194
560	4073	3187
561	4080	3179
562	4087	3172
563	4093	3164
564	4100	3157
565	4107	3149
566	4114	3142
567	4121	3134
568	4127	3126
569	4134	3118
570	4141	3111
571	4148	3103
572	4155	3096
573	4162	3089
574	4169	3081
575	4176	3074
576	4183	3066
577	4191	3059
578	4197	3052
579	4205	3045
580	4212	3038
581	4219	3030
582	4226	3022
583	4232	3015
584	4239	3007
585	4246	2999
586	4254	2993
587	4261	2985
588	4268	2978
589	4274	2970
590	4282	2963
591	4288	2955
592	4295	2948
593	4303	2941
594	4310	2934
595	4318	2926
596	4324	2919
597	4331	2912
598	4338	2904
599	4345	2896
600	4352	2889
601	4359	2882
602	4366	2874
603	4372	2867
604	4379	2859
605	4386	2851
606	4393	2844
607	4399	2836
608	4406	2829
609	4413	2821
610	4420	2814
611	4427	2806
612	4433	2799
613	4440	2791
614	4447	2784
615	4454	2776
616	4461	2769
617	4468	2762
618	4475	2754
619	4482	2747
620	4489	2739
621	4495	2732
622	4502	2724
623	4508	2716
624	4516	2709
625	4522	2702
626	4529	2694
627	4536	2687
628	4543	2679
629	4550	2672
630	4557	2665
631	4564	2657
632	4571	2650
633	4577	2642
634	4584	2635
635	4591	2627
636	4597	2620
637	4604	2612
638	4611	2605
639	4617	2597
640	4624	2590
641	4631	2582
642	4638	2575
643	4645	2568
644	4652	2560
645	4659	2553
646	4666	2546
647	4674	2538
648	4680	2531
649	4687	2524
650	4694	2516
651	4701	2509
652	4708	2501
653	4714	2494
654	4722	2487
655	4729	2480
656	4736	2472
657	4743	2465
658	4751	2458
659	4758	2451
660	4765	2444
661	4772	2436
662	4779	2429
663	4786	2421
664	4793	2414
665	4799	2407
666	4806	2399
667	4814	2392
668	4820	2385
669	4827	2377
670	4834	2370
671	4841	2362
672	4847	2355
673	4854	2348
674	4861	2340
675	4867	2333
676	4874	2325
677	4881	2318
678	4888	2311
679	4895	2303
680	4902	2296
681	4908	2288
682	4915	2281
683	4922	2273
684	4929	2266
685	4935	2259
686	4942	2251
687	4949	2244
688	4956	2237
689	4962	2229
690	4969	2222
691	4976	2214
692	4982	2207
693	4989	2200
694	4996	2192
695	5002	2185
696	5009	2177
697	5016	2170
698	5024	2163
699	5031	2156
700	5038	2148
701	5044	2141
702	5051	2134
703	5058	2126
704	5065	2119
705	5072	2112
706	5079	2105
707	5086	2097
708	5093	2090
709	5099	2083
710	5106	2075
711	5113	2068
712	5120	2061
713	5127	2053
714	5134	2046
715	5141	2039
716	5148	2031
717	5154	2024
718	5161	2017
719	5169	2010
720	5176	2002
721	5184	1996
722	5191	1989
723	5198	1981
724	5204	1974
725	5212	1967
726	5219	1959
727	5226	1952
728	5232	1945
729	5240	1938
730	5247	1931
731	5254	1923
732	5261	1916
733	5268	1909
734	5275	1902
735	5282	1894
736	5289	1887
737	5296	1880
738	5303	1873
739	5310	1865
740	5317	1858
741	5324	1851
742	5330	1843
743	5337	1836
744	5344	1829
745	5352	1822
746	5360	1815
747	5368	1808
748	5374	1801
749	5381	1793
750	5389	1786
751	5395	1779
752	5402	1772
753	5409	1764
754	5416	1757
755	5423	1750
756	5429	1742
757	5436	1735
758	5443	1728
759	5450	1721
760	5457	1713
761	5464	1706
762	5470	1699
763	5477	1692
764	5483	1684
765	5490	1677
766	5497	1669
767	5504	1662
768	5510	1655
769	5517	1648
770	5524	1640
771	5531	1633
772	5538	1626
773	5545	1619
774	5552	1612
775	5559	1604
776	5566	1597
777	5573	1590
778	5580	1583
779	5586	1575
780	5593	1568
781	5600	1561
782	5606	1553
783	5613	1546
784	5620	1539
785	5627	1532
786	5634	1524
787	5641	1517
788	5647	1510
789	5654	1503
790	5662	1496
791	5668	1488
792	5675	1481
793	5682	1474
794	5689	1467
795	5696	1459
796	5702	1452
797	5710	1445
798	5717	1438
799	5723	1430
800	5730	1423
801	5737	1416
802	5744	1409
803	5750	1401
804	5757	1394
805	5764	1387
806	5771	1380
807	5778	1373
808	5785	1365
809	5791	1358
810	5798	1351
811	5806	1344
812	5813	1337
813	5819	1329
814	5826	1322
815	5833	1315
816	5840	1308
817	5847	1300
818	5853	1293
819	5860	1286
820	5867	1279
821	5874	1272
822	5881	1264
823	5888	1257
824	5895	1250
825	5902	1243
826	5909	1236
827	5916	1229
828	5923	1221
829	5930	1214
830	5937	1207
831	5944	1200
832	5952	1193
833	5959	1186
834	5966	1178
835	5973	1171
836	5980	1164
837	5986	1157
838	5993	1150
839	6000	1142
840	6007	1135
841	6014	1128
842	6021	1121
843	6028	1114
844	6034	1106
845	6041	1099
846	6048	1092
847	6055	1085
848	6062	1078
849	6068	1070
850	6076	1063
851	6083	1056
852	6089	1049
853	6097	1042
854	6104	1035
855	6110	1028
856	6117	1020
857	6124	1013
858	6131	1006
859	6138	999
860	6145	992
861	6151	984
862	6158	977
863	6165	970
864	6172	963
865	6179	956
866	6186	949
867	6193	941
868	6200	934
869	6208	927
870	6215	920
871	6224	913
872	6231	906
873	6237	899
874	6244	892
875	6251	884
876	6258	877
877	6265	870
878	6271	863
879	6278	856
880	6285	848
881	6291	841
882	6298	834
883	6305	827
884	6312	820
885	6319	813
886	6326	806
887	6333	798
888	6340	791
889	6347	784
890	6353	777
891	6360	770
892	6367	762
893	6374	755
894	6380	748
895	6388	741
896	6394	734
897	6401	727
898	6407	719
899	6414	712
900	6420	705
901	6427	698
902	6434	691
903	6441	684
904	6447	676
905	6455	669
906	6462	662
907	6468	655
908	6475	648
909	6482	641
910	6488	633
911	6495	626
912	6502	619
913	6509	612
914	6516	605
915	6523	598
916	6530	591
917	6538	584
918	6544	576
919	6551	569
920	6558	562
921	6566	555
922	6573	548
923	6580	541
924	6587	534
925	6593	526
926	6600	519
927	6607	512
928	6614	505
929	6622	498
930	6628	491
931	6635	484
932	6642	476
933	6648	469
934	6655	462
935	6662	455
936	6668	448
937	6675	441
938	6681	434
939	6688	426
940	6694	419
941	6702	412
942	6710	405
943	6716	398
944	6723	391
945	6729	384
946	6737	377
947	6743	369
948	6750	362
949	6757	355
950	6764	348
951	6770	341
952	6777	334
953	6784	327
954	6790	319
955	6797	312
956	6804	305
957	6811	298
958	6819	291
959	6826	284
960	6833	277
961	6840	270
962	6847	263
963	6854	255
964	6861	248
965	6868	241
966	6875	234
967	6882	227
968	6888	220
969	6895	213
970	6902	206
971	6909	199
972	6916	191
973	6922	184
974	6929	177
975	6935	170
976	6942	163
977	6949	156
978	6956	149
979	6963	142
980	6969	134
981	6976	127
982	6983	120
983	6990	113
984	6997	106
985	7005	99
986	7011	92
987	7018	85
988	7025	78
989	7031	71
990	7038	63
991	7046	56
992	7053	49
993	7060	42
994	7067	35
995	7074	28
996	7081	21
997	7088	14
998	7094	7
999	7101	0
